Retailer,Title,Product,Price,Available,SKU,Website
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",SSW1B76LQDWLN,https://www.agjeans.com/alexxis-slim-SSW1B76LQDWLN.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",EMP1A91BAVE,https://www.agjeans.com/darted-mari-EMP1A91BAVE.html
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",VBS1B75LL23YFCE,https://www.agjeans.com/alexxis-boot-VBS1B75LL23YFCE.html
agjeans,Alexxis Slim,VINTAGE SLIM,"21,400.00","['24', '32']",HSI187505YOXN,https://www.agjeans.com/mari-HSI187505YOXN.html
agjeans,Prima Ankle,CIGARETTE ANKLE,"20,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HAS1B80SBA,https://www.agjeans.com/renn-utility-HAS1B80SBA.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"19,700.00","['23', '24', '26', '27', '28', '31', '32']",LCN1B32INSP,https://www.agjeans.com/farrah-ankle-seamless-LCN1B32INSP.html
agjeans,Mari,CORDUROY HIGH-RISE SLIM STRAIGHT,"22,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",PSI138913YCET,https://www.agjeans.com/legging-ankle-PSI138913YCET.html
agjeans,Alexxis,VINTAGE STRAIGHT,"19,900.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",LOS1389FXGV,https://www.agjeans.com/legging-ankle-LOS1389FXGV.html
agjeans,Alexxis,VINTAGE STRAIGHT,"23,400.00","['23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",HRD1B11SPTFMARD,https://www.agjeans.com/alexxis-short-HRD1B11SPTFMARD.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"23,400.00","['24', '27', '28', '29', '30', '31', '32']",RAS1434ATTC,https://www.agjeans.com/prima-RAS1434ATTC.html
