Retailer,Title,Product,Price,SKU,Website
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",VBS1B75RHSANC,/alexxis-boot-VBS1B75RHSANC.html
agjeans,Haruko Skirt,VINTAGE A- LINE SKIRT,"₹19,600.00",HRD1A98ATMO,/knoxx-HRD1A98ATMO.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",RLS4087DESI,/robyn-jacket-RLS4087DESI.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹21,300.00",LED157508YCUU,/ex-boyfriend-slim-LED157508YCUU.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",EMP1A4804YENC,/mari-crop-EMP1A4804YENC.html
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",STS1753RDWY,/isabelle-STS1753RDWY.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹24,300.00",RAS1A48MITO,/mari-crop-RAS1A48MITO.html
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹19,800.00",AHD1875ZPHR,/mari-AHD1875ZPHR.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹23,300.00",LGN1B64RMJSDC,/deven-LGN1B64RMJSDC.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹19,800.00",HSI143405YOXN,/prima-HSI143405YOXN.html
agjeans,Clove,RELAXED VINTAGE STRAIGHT,"₹21,300.00",EMP1875BBLL,/mari-EMP1875BBLL.html
agjeans,Alexxis,VINTAGE STRAIGHT,"₹21,300.00",RAS177710YALI,/farrah-skinny-ankle-RAS177710YALI.html
agjeans,Alexxis Slim,VINTAGE SLIM,"₹22,300.00",,
agjeans,Ezzra,TRUE BOYFRIEND,"₹21,800.00",,
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹24,300.00",,
agjeans,Deven,HIGH-RISE ULTRA WIDE LEG,"₹23,300.00",,
agjeans,Farrah Skinny,HIGH-RISE SKINNY,"₹19,800.00",,
agjeans,Prima Crop,CIGARETTE LEG,"₹22,300.00",,
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",,
agjeans,Alexxis Boot,VINTAGE BOOT,"₹22,300.00",,
agjeans,Legging Ankle,SUPER SKINNY ANKLE,"₹22,300.00",,
agjeans,Mari Crop,HIGH-RISE SLIM STRAIGHT,"₹20,800.00",,
agjeans,Nikki Short,RELAXED SKINNY SHORT,"₹16,700.00",,
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,800.00",,
agjeans,Farrah Skinny Ankle,HIGH-RISE SKINNY,"₹22,300.00",,
agjeans,Mari,HIGH-RISE SLIM STRAIGHT,"₹21,300.00",,
agjeans,Saige,HIGH-RISE STRAIGHT,"₹21,300.00",,
agjeans,Ex-Boyfriend Slim,SLOUCHY SLIM,"₹22,300.00",,
agjeans,Sloane Short,VINTAGE BOYFRIEND SHORT,"₹17,700.00",,
